time,id,name,artists,link,playlist
2022-04-17T10:33:00,7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:30:12,531KGXtBroSrOX9LVmiIgc,Starlight,Dave,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:26:40,4VtRHZ4tBDHaWltVAytlLY,Go,Cat Burns,https://open.spotify.com/track/4VtRHZ4tBDHaWltVAytlLY,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:23:04,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer-Smith,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:20:08,6Jrdb6CFOJEGaHjaa6c4WR,IDGAF (with blackbear),BoyWithUke;blackbear,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:17:47,6mmPpaltUZK7xjNlBPQQ0p,Desesperados,Rauw Alejandro;Chencho Corleone,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:14:01,5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,Jnr Choi;Sam Tompkins,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:11:29,6LtHYDgYHRCHoKK3snfr2w,I’m Tired (with Zendaya) - Bonus Track,Labrinth;Zendaya,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:08:20,3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T10:05:31,3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
