playlist,name,artists,duration,link
Daily Mix 1,Oh My God,Adele,03:45,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
Daily Mix 1,High,The Chainsmokers,02:55,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
Daily Mix 1,Fingers Crossed,Lauren Spencer-Smith,02:55,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
Daily Mix 1,THATS WHAT I WANT,Lil Nas X,02:23,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Daily Mix 1,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,03:26,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
Daily Mix 1,West Coast,OneRepublic,03:12,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Daily Mix 1,House On Fire,Mimi Webb,02:20,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ
Daily Mix 1,When I’m Gone (with Katy Perry),Alesso;Katy Perry,02:41,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
Daily Mix 1,iPad,The Chainsmokers,03:22,https://open.spotify.com/track/40mxAPW0mpgZ4EGPWiFxt9
Daily Mix 1,Dancing Feet (feat. DNCE),Kygo;DNCE,03:35,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
Daily Mix 1,Melody,Sigala,02:47,https://open.spotify.com/track/6Owc2SuzwO3LW1SAODYK3l
Daily Mix 1,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,02:49,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
Daily Mix 1,Sunshine,OneRepublic,02:43,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B
Daily Mix 1,Everything But You (feat. A7S),Clean Bandit;A7S,03:18,https://open.spotify.com/track/2wVQcA1YCuGL6EW0QbgVoV
Daily Mix 1,What Would You Do?,Joel Corry;David Guetta;Bryson Tiller,02:54,https://open.spotify.com/track/1D2ZNECRd7KIlA4pyOUGsv
Daily Mix 1,You Were Loved (with OneRepublic),Gryffin;OneRepublic,03:41,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C
