playlist,name,artists,duration,link
Daily Mix 6,THATS WHAT I WANT,Lil Nas X,02:23,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
Daily Mix 6,up at night (feat. justin bieber),Kehlani;Justin Bieber,03:02,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy
Daily Mix 6,Sweetest Pie,Megan Thee Stallion;Dua Lipa,03:21,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
Daily Mix 6,Last Call,Khalid,03:11,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf
Daily Mix 6,GROWING UP IS _____,Ruel,03:53,https://open.spotify.com/track/2wJ1eOCIBwoQiN7xQtrTAY
Daily Mix 6,High,The Chainsmokers,02:55,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
Daily Mix 6,Over,Lucky Daye,03:25,https://open.spotify.com/track/1DOgkaR5Gqa8JtPEIbQORC
Daily Mix 6,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,03:32,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
Daily Mix 6,Big Energy (feat. DJ Khaled) - Remix,Latto;Mariah Carey;DJ Khaled,03:01,https://open.spotify.com/track/4nmD4awtUUCC4AGETpUiuP
Daily Mix 6,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake;Ozuna;Megan Thee Stallion;LISA,03:45,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
Daily Mix 6,All 4 Nothing (I'm So In Love),Lauv,03:02,https://open.spotify.com/track/21AziTMaZwcLflGMAj85o5
Daily Mix 6,Fair,Normani,03:04,https://open.spotify.com/track/1SlGaBvTqX0gb24ouXonOo
Daily Mix 6,Treat Me,Chlöe,02:29,https://open.spotify.com/track/2ZCu2xskiEBCV3y0eu0zJG
Daily Mix 6,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,03:21,https://open.spotify.com/track/73cnVqsbZygieKi8xF10sO
Daily Mix 6,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes;Tainy,03:04,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
Daily Mix 6,Savage,Megan Thee Stallion,02:35,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
Daily Mix 6,Closer (feat. H.E.R.),Saweetie;H.E.R.,02:48,https://open.spotify.com/track/1dKe9VEGUSNfzn5MDvm6SJ
Daily Mix 6,MONTERO (Call Me By Your Name),Lil Nas X,02:17,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
Daily Mix 6,little story,Kehlani,03:18,https://open.spotify.com/track/4ZfwRdhHblKGWcrMYeZMex
Daily Mix 6,Retrograde (feat. 6LACK & Lucky Daye),Khalid;6LACK;Lucky Daye,03:40,https://open.spotify.com/track/3v5WRAItrZgr5vCdW3vTmz
Daily Mix 6,Finally (Cannot Hide It),Amorphous;Kelly Rowland;CeCe Peniston,03:24,https://open.spotify.com/track/24gGzXklm7S16b9rcYUpGm
Daily Mix 6,NWA (feat. Lil Durk),Lucky Daye;Lil Durk,03:51,https://open.spotify.com/track/7nGnc4hif6ErrFrvjVuht2
Daily Mix 6,Flamin’ Hottie,Megan Thee Stallion,01:48,https://open.spotify.com/track/3ZJmjmUTRCBA3UjNbFU5Ui
Daily Mix 6,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5;Megan Thee Stallion,03:47,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
