playlist,name,artists,duration,link
Daily Mix 5,Black,Pearl Jam,05:42,https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY
Daily Mix 5,Nothing Else Matters,Metallica,06:28,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs
Daily Mix 5,My Universe,Coldplay;BTS,03:46,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
Daily Mix 5,Bones,Imagine Dragons,02:45,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
Daily Mix 5,West Coast,OneRepublic,03:12,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR
Daily Mix 5,Infinity,Jaymes Young,03:57,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
Daily Mix 5,The Sound of Silence,Disturbed,04:08,https://open.spotify.com/track/1Cj2vqUwlJVG27gJrun92y
Daily Mix 5,Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,02:34,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
Daily Mix 5,One,Metallica,07:27,https://open.spotify.com/track/5IX4TbIR5mMHGE4wiWwKW0
Daily Mix 5,It'll Be Okay,Shawn Mendes,03:42,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
Daily Mix 5,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,02:53,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
Daily Mix 5,Fix You,Coldplay,04:55,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
Daily Mix 5,November Rain,Guns N' Roses,08:56,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM
Daily Mix 5,Wish You Were Here - 2011 Remaster,Pink Floyd,05:04,https://open.spotify.com/track/7aE5WXu5sFeNRh3Z05wwu4
Daily Mix 5,Happiest Year - Sam Feldt Remix,Jaymes Young;Sam Feldt,03:16,https://open.spotify.com/track/5gQlZDf1okAKlIeRLSlVr1
Daily Mix 5,Holy Wars...The Punishment Due - Remastered,Megadeth,06:32,https://open.spotify.com/track/5LyRtsQLhcXmy50VXhQXXS
Daily Mix 5,Run - From One Night In Malibu,OneRepublic,02:50,https://open.spotify.com/track/3v5dEeN8mrw8XFq3wnGL1H
Daily Mix 5,Fighter,The Score,02:36,https://open.spotify.com/track/4gi2kndWShH9kDbb9kBfs6
Daily Mix 5,Hymn for the Weekend,Coldplay,04:18,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
Daily Mix 5,Enemy,Our Last Night,02:51,https://open.spotify.com/track/0tobjNbP51FMlEUslgm9CR
Daily Mix 5,Bad Liar,Imagine Dragons,04:20,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
Daily Mix 5,Feel Something,Jaymes Young,03:37,https://open.spotify.com/track/0vMI3AJPQMjytAu8XMWr65
Daily Mix 5,Hard 2 Face Reality,Poo Bear;Justin Bieber;Jay Electronica,03:16,https://open.spotify.com/track/3XBMJF4N7ZdZrK30oGCxpN
Daily Mix 5,Dead Inside,Nita Strauss;David Draiman;Disturbed,04:00,https://open.spotify.com/track/47xrDjgTsXiSczuZENqUoH
Daily Mix 5,Alarm,The Score,02:28,https://open.spotify.com/track/0kI9LbcEWTMbjI2s2sn3yM
Daily Mix 5,Sparks,Coldplay,03:47,https://open.spotify.com/track/7D0RhFcb3CrfPuTJ0obrod
Daily Mix 5,Something Just Like This,The Chainsmokers;Coldplay,04:07,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
Daily Mix 5,Demons,Imagine Dragons,02:57,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR
Daily Mix 5,Habits of My Heart,Jaymes Young,03:30,https://open.spotify.com/track/0elXIl26ZrovBULLTrEGK6
Daily Mix 5,The Shortest Straw,Metallica,06:35,https://open.spotify.com/track/2Aqz0jTeEsS6DZbQYqHRGh
Daily Mix 5,Let Her Go,Passenger,04:12,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
Daily Mix 5,Sad,Pearl Jam,03:38,https://open.spotify.com/track/0MthtBY0TLvqrCwzup0aGI
Daily Mix 5,Paradise,Coldplay,04:38,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D
Daily Mix 5,Inside the Fire,Disturbed,03:51,https://open.spotify.com/track/5cxp9kjCFyJwzv3lzeX7ku
Daily Mix 5,Whatever It Takes,Imagine Dragons,03:21,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
Daily Mix 5,Moondust,Jaymes Young,03:45,https://open.spotify.com/track/4kzyhn8i6Hf8daEBqNPfCy
Daily Mix 5,Fight Fire With Fire - Remastered,Metallica,04:44,https://open.spotify.com/track/6ckozbGmOusAnLT2LEbERy
Daily Mix 5,Iris,The Goo Goo Dolls,04:49,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
Daily Mix 5,Daughter - Remastered,Pearl Jam,03:54,https://open.spotify.com/track/53eJFr4Mfbw5PXJ01K6cFw
Daily Mix 5,Yellow,Coldplay,04:26,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Daily Mix 5,Warrior,Disturbed,03:24,https://open.spotify.com/track/2TNPagu8Z4zvDOpmnktF00
Daily Mix 5,Believer,Imagine Dragons,03:24,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Daily Mix 5,I'll Be Good,Jaymes Young,04:07,https://open.spotify.com/track/4JuJZzGcswQszYiKJSnC6i
Daily Mix 5,Sad But True,Metallica,05:23,https://open.spotify.com/track/1PhLYngBKbeDtdmDzCg3Pb
Daily Mix 5,Come As You Are,Nirvana,04:13,https://open.spotify.com/track/3sYWyVGfPuit80szWXhrRA
Daily Mix 5,Better Man,Pearl Jam,04:28,https://open.spotify.com/track/2B98ljvzqpCVgt5reTHq28
Daily Mix 5,A Sky Full of Stars,Coldplay,04:27,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ
Daily Mix 5,Indestructible,Disturbed,04:38,https://open.spotify.com/track/42ZVk59gT4tMlrZmd8Ijxf
Daily Mix 5,Thunder,Imagine Dragons,03:07,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
Daily Mix 5,What Is Love,Jaymes Young,03:28,https://open.spotify.com/track/6CIff9z94pPApi2i3k2lq1
