time,id,name,artists,link,playlist
2022-04-17T09:10:07,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:07:40,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Megan Thee Stallion;Dua Lipa,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:04:18,705dwKmZCd7ImAUyyD6Mpm,psychofreak (feat. WILLOW),Camila Cabello;WILLOW,https://open.spotify.com/track/705dwKmZCd7ImAUyyD6Mpm,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T09:00:57,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:57:29,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:54:41,18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto;Ava Max,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:51:55,1HvTxgCj0mTzQlEo0zLvFb,In My Head,Lil Tjay,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:49:39,1BSMpVGWs3v5BZKnAQziAc,Light Switch,Charlie Puth,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:46:33,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:43:00,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:39:55,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:36:33,3IAfUEeaXRX9s9UdKOJrFI,Envolver,Anitta,https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:33:18,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies;Calum Scott,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:30:50,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:27:21,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:24:27,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:22:04,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:19:12,59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
